       -3.465000        2.501821        0.000002
       -3.395000        2.428709        0.000002
       -3.325000        2.317267        0.000002
       -3.255000        2.224267        0.000002
       -3.185000        2.101931        0.000002
       -3.115000        1.982258        0.000003
       -3.045000        1.874573        0.000002
       -2.975000        1.758312        0.000003
       -2.905000        1.636622        0.000002
       -2.835000        1.522609        0.000002
       -2.765000        1.413110        0.000002
       -2.695000        1.326707        0.000002
       -2.625000        1.269071        0.000002
       -2.555000        1.240544        0.000002
       -2.485000        1.241838        0.000002
       -2.415000        1.236802        0.000002
       -2.345000        1.206568        0.000002
       -2.275000        1.162206        0.000002
       -2.205000        1.105875        0.000002
       -2.135000        1.024255        0.000001
       -2.065000        0.928024        0.000001
       -1.995000        0.820631        0.000001
       -1.925000        0.710883        0.000001
       -1.855000        0.597447        0.000001
       -1.785000        0.477067        0.000001
       -1.715000        0.377319        0.000001
       -1.645000        0.292868        0.000001
       -1.575000        0.219770        0.000000
       -1.505000        0.165523        0.000000
       -1.435000        0.114345        0.000000
       -1.365000        0.056653        0.000000
       -1.295000        0.000000        0.000000
       -1.225000        0.000431        0.000001
       -1.155000        0.049192        0.000001
       -1.085000        0.150630        0.000002
       -1.015000        0.315695        0.000002
       -0.945000        0.553408        0.000002
       -0.875000        0.879137        0.000005
       -0.805000        1.422396        0.000010
       -0.735000        2.112667        0.000010
       -0.665000        2.939783        0.000011
       -0.595000        3.900349        0.000012
       -0.525000        5.089935        0.000016
       -0.455000        6.483336        0.000025
       -0.385000        8.031681        0.000054
       -0.315000        9.742945        0.000171
       -0.245000       11.641078        0.000637
       -0.175000       13.804711        0.002327
       -0.105000       15.690758        0.006852
       -0.035000       15.212254        0.087232
        0.035000       13.909299        0.047815
        0.105000       12.694961        0.021741
        0.175000       11.634223        0.006509
        0.245000       10.693247        0.011632
        0.315000        9.866908        0.024204
        0.385000        9.140430        0.037172
        0.455000        8.538213        0.043671
        0.525000        8.132789        0.043606
        0.595000        7.815223        0.043120
        0.665000        7.580822        0.043068
        0.735000        7.410062        0.043083
        0.805000        7.373362        0.043150
        0.875000        7.385765        0.043172
        0.945000        7.425219        0.043157
        1.015000        7.496469        0.043157
        1.085000        7.559538        0.043157
        1.155000        7.617977        0.043158
        1.225000        7.703043        0.043158
        1.295000        7.803688        0.043158
        1.365000        7.895484        0.043158
        1.435000        8.011408        0.043158
        1.505000        8.123141        0.043158
        1.575000        8.249033        0.043158
        1.645000        8.394602        0.043158
        1.715000        8.523064        0.043159
        1.785000        8.667250        0.043159
        1.855000        8.808406        0.043159
        1.925000        8.950367        0.043159
        1.995000        9.054291        0.043159
        2.065000        9.135515        0.043159
        2.135000        9.180004        0.043159
        2.205000        9.230182        0.043159
        2.275000        9.245615        0.043159
        2.345000        9.248171        0.043159
        2.415000        9.233023        0.043159
        2.485000        9.227086        0.043159
        2.555000        9.250804        0.043159
        2.625000        9.318833        0.043159
        2.695000        9.425557        0.043159
        2.765000        9.555503        0.043159
        2.835000        9.705348        0.043159
        2.905000        9.865120        0.043159
        2.975000       10.012950        0.043159
        3.045000       10.148391        0.043159
        3.115000       10.290992        0.043159
        3.185000       10.442124        0.043159
        3.255000       10.550702        0.043159
        3.325000       10.669617        0.043159
        3.395000       10.775793        0.043159
        3.465000       10.862656        0.043159
