# Header information on force file

CH3-CH3
N 2000  R        0.006000       12.000000
  132      0.79200000     86.45732600     57.08322300
  133      0.79800000     86.14953500     56.96867200
  134      0.80400000     85.84174400     56.85412200
  135      0.81000000     85.53395300     56.73957200
  136      0.81600000     85.22616200     56.62502200
  137      0.82200000     84.91837100     56.51047200
  138      0.82800000     84.61058000     56.39592100
  139      0.83400000     84.30278900     56.28137100
  140      0.84000000     83.99499800     56.16682100
  141      0.84600000     83.68720700     56.05227100
  142      0.85200000     83.37941600     55.93772100
  143      0.85800000     83.07162500     55.82317000
  144      0.86400000     82.76383400     55.70862000
  145      0.87000000     82.45604300     55.59407000
  146      0.87600000     82.14825200     55.47952000
  147      0.88200000     81.84046100     55.36497000
  148      0.88800000     81.53267000     55.25041900
  149      0.89400000     81.22487900     55.13586900
  150      0.90000000     80.91708800     55.02131900
  151      0.90600000     80.60929700     54.90676900
  152      0.91200000     80.30150600     54.79221900
  153      0.91800000     79.99371500     54.67766800
  154      0.92400000     79.68592400     54.56311800
  155      0.93000000     79.37813300     54.44856800
  156      0.93600000     79.07034200     54.33401800
  157      0.94200000     78.76255100     54.21946800
  158      0.94800000     78.45476000     54.10491700
  159      0.95400000     78.14696900     53.99036700
  160      0.96000000     77.83917800     53.87581700
  161      0.96600000     77.53138700     53.76126700
  162      0.97200000     77.22359600     53.64671700
  163      0.97800000     76.91580500     53.53216600
  164      0.98400000     76.60801400     53.41761600
  165      0.99000000     76.30022300     53.30306600
  166      0.99600000     75.99243200     53.18851600
  167      1.00200000     75.68464100     53.07396600
  168      1.00800000     75.37685000     52.95941500
  169      1.01400000     75.06905900     52.84486500
  170      1.02000000     74.76126800     52.73031500
  171      1.02600000     74.45347700     52.61576500
  172      1.03200000     74.14568600     52.50121500
  173      1.03800000     73.83789500     52.38666400
  174      1.04400000     73.53010400     52.27211400
  175      1.05000000     73.22231300     52.15756400
  176      1.05600000     72.91452200     52.04301400
  177      1.06200000     72.60673100     51.92846400
  178      1.06800000     72.29894000     51.81391300
  179      1.07400000     71.99114900     51.69936300
  180      1.08000000     71.68335800     51.58481300
  181      1.08600000     71.37556700     51.47026300
  182      1.09200000     71.06777600     51.35571300
  183      1.09800000     70.75998500     51.24116200
  184      1.10400000     70.45295800     51.12661200
  185      1.11000000     70.14631300     51.01206200
  186      1.11600000     69.84081300     50.89751200
  187      1.12200000     69.53569600     50.78296300
  188      1.12800000     69.23134100     50.66841200
  189      1.13400000     68.92775100     50.55386200
  190      1.14000000     68.62454200     50.43931200
  191      1.14600000     68.32247900     50.32476200
  192      1.15200000     68.02079800     50.21021300
  193      1.15800000     67.71988100     50.09566200
  194      1.16400000     67.41972700     49.98111200
  195      1.17000000     67.11995400     49.86656200
  196      1.17600000     66.82132700     49.75201200
  197      1.18200000     66.52308300     49.63746300
  198      1.18800000     66.22560100     49.52291200
  199      1.19400000     65.92888400     49.40836200
  200      1.20000000     65.63254900     49.29381200
  201      1.20600000     65.33735900     49.17926200
  202      1.21200000     65.04255000     49.06471300
  203      1.21800000     64.74850600     48.95016200
  204      1.22400000     64.45522500     48.83561200
  205      1.23000000     64.16232600     48.72106200
  206      1.23600000     63.87057200     48.60651200
  207      1.24200000     63.57920100     48.49196300
  208      1.24800000     63.28859200     48.37741200
  209      1.25400000     62.99874800     48.26286300
  210      1.26000000     62.70928500     48.14831300
  211      1.26600000     62.42096800     48.03376300
